class,Lichen location 1,Lichen location 2,Lichen location 3,Lichen location 4,Lichen location 5,Lichen location 6,Lichen location 7,Lichen location 8,Root location 1,Root location 2,Root location 3,Root location 4,Root location 5,Root location 6,Root location 7,Root location 8,Root location 9,Root location 90,Soil location 1,Soil location 2,Soil location 3,Soil location 4,Soil location 5,Soil location 6,Soil location 7,Soil location 8,Soil location 9,Soil location 90
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53E-05,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0.001896555,0.002640825,0.006287705,0.001890318,0.003069513,1.46E-05,0,0,0.000292292,0.022038485,0.029328055,0.006062207,0.0092387,0.001791728,0.010772465,0.007448969,0.001351703,0.001481886,0.01512251,0.025025391
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488033,0.000200806,0,0,0,0,0,0,0,0,0.001874785,0.000421115
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-05,0.000467108,0,0,0,0,0.000651598,0.000847603,0.001549303,0.000583625,0.002270851,0,0,5.46E-05,0.001631966,0.002941614
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005534,6.19E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0.000174323,0,0,6.84E-05,0,0.00011388,0.000597399,5.53E-05,0,0,0.005608633,0.000181418,0,0.000722836,0,0.017053765,0.007877332
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-05,0.000763206,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0.000147305,0,5.33E-05,2.72E-05,0,0,6.38E-05,1.43E-05,0.000140452,0.000215867,0.002698599,0.000491364,0.001106645,0.000951308,3.13E-05,0.001384621,0.001763719,0.001271302,0.000282347,0.000947509
Eurotiomycetes,0,0.000916755,0.000368262,0.000243708,7.67E-05,0,0,0,0,0,3.56E-05,0,0,0,0,0,0,0,0,7.37E-05,5.00E-05,0.001097214,0.000531742,0,8.67E-05,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,2.78E-05,0,0,3.23E-05,0,0,0,0.003898495,4.52E-05,0.000104502,4.91E-05,4.28E-05,0.000105052,1.88E-05,2.41E-05,2.89E-05,3.90E-05,0.004167443,0.002861106
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,4.90E-05,1.61E-05,0,0,0,9.49E-05,4.02E-05,6.76E-05,0,0.001377951,0.00060697,0.000100093,0,0,2.34E-05,0.005709058,0.002563848
Eurotiomycetes,0,0,0,0,0,0,0,0,0.000156512,0.00030578,0.010299748,0.007283444,0.00177935,0.000121643,0.002671115,0.00200155,0.004893048,0.006465961,0.020734339,0.004440705,0.019655441,0.020129214,0.010878813,0.018101381,0.031313248,0.007955387,0.013112199,0.013729594
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0.001066717,0,0.000688087,1.46E-05,0,0,0.000182208,0.000220887,8.61E-05,0.000436086,0,0.001254793,8.13E-05,0.001225413,0.000101197,0,0.002061134,0.009803314
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,2.76E-05,0.000261303,0,1.63E-05,1.61E-05,1.95E-05,0,0,0,0,0.000178267,0.005970076,0.002127614,0.003023176,0.000569277,0.001413567,0,0,0.000519519,0.000210558
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08E-05,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000430301,0,0.002555993,0.001593295,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0.001086376,0.000789468,0.000456318,0.000550208,3.76E-05,0.001148307,0.000364657,9.51E-05,0.001127413,0.003925762,0.03952003,0.01283075,0.025360017,0.014578944,0.003478217,0.023480656,0.035953854,0.017837227,0.013840655,0.035881493
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51E-05,3.69E-05,1.84E-05,0.000107095,5.25E-05,0,6.75E-05,0.000144567,3.12E-05,3.39E-05,6.81E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000565069,0.000149933,0.000128397,0.000200185,0,0,2.34E-05,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214972,6.43E-05,0,0.000150139,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0.000110479,0.000922899,0.000491875,9.81E-05,0.000193524,0.000150837,3.65E-05,0,0.000330252,0.000301209,0.014322861,0.028001622,0.032778107,0.006198094,0.002721267,0.010348471,0.000693922,0,0.003128406,0.007196116
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05,6.76E-05,0.000157072,0,0,4.82E-05,0,0,0,2.48E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0.004253439,0.000205706,0.000373351,0.00999635,0.001317041,0,8.20E-05,0.000118857,0.00026572,0.000245988,0.000922073,2.46E-05,0.000128514,0.002001833,0.000462928,0.000506569,0.000672237,3.12E-05,0.000310582,0.000191979
Eurotiomycetes,0,0,0,0,0,9.56E-05,0,0,4.60E-05,8.90E-05,0,0,0,0.00013624,0,0,0.000136656,3.51E-05,2.46E-05,6.76E-05,3.57E-05,4.67E-05,0,0.000101314,6.51E-05,2.34E-05,2.26E-05,0.000136243
Eurotiomycetes,0.001066073,6.55E-05,0,0.000108314,0,0.001505161,0.000883754,0,0,0,0,0,0,0,0,0,0,6.02E-05,0,0,1.00E-04,0.000916291,0.000763206,0,0.000303591,0,0,0
Eurotiomycetes,0,4.91E-05,7.67E-05,0.000148932,0.000178982,0,0,0,0,0,0,2.72E-05,0,0,0,0,0,0,0.000110649,0,0,0.000145906,0.000406626,0.000139909,8.67E-05,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001321384,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0.006960172,0.00241844,0.00424909,0.010236045,0.013578966,0.012154535,0.004189002,0.000988889,0.018084157,0.011074464,0.020660573,0.020379333,0.025181525,0.025942116,0.03272402,0.039517168,0.031363847,0.019927466,0.023683274,0.02789269
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168654,0,0,0,0,0,0,0.003647654,0,0.000192978,0,0,0.00068328,0.002037454
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,6.54E-05,0,0,0,0,0,0,0,0,0,2.33E-05,0.000644346,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89E-05,2.17E-05,0,0,0
Eurotiomycetes,6.95E-05,0,0,9.48E-05,0,0,4.91E-05,0.000286495,4.60E-05,0,0,0,4.84E-05,0,0,1.90E-05,5.69E-05,0,7.99E-05,0,7.85E-05,0.000385192,0.000275255,0.001215764,0.000448158,0.001240105,0.000976921,0.00133766
Eurotiomycetes,0.00020858,0.001849881,7.67E-05,0,0.000255689,0.000119457,0,0,0,3.34E-05,0,0,0,0,0,0,0,0,0.000116796,0.000135125,0.000157072,2.92E-05,0.000275255,0.000255696,0.000238536,4.68E-05,2.82E-05,4.95E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126508,0,0,0,0,9.22E-05,0,0,0,0,0,0.000101197,0,0,0
Eurotiomycetes,0.000278106,0,0.001074097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,0,0,0,0
Eurotiomycetes,0,6.55E-05,0,0,0,0,0,6.61E-05,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,4.28E-05,1.75E-05,2.50E-05,3.86E-05,8.67E-05,0,1.69E-05,4.34E-05
Eurotiomycetes,0,0.000147336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0.000147336,0.000153442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-05,3.13E-05,0,0,0,0,0
